battery,obs_frac,trend,true_rul,pred_rul,true_eol,pred_eol,true_rul_frac,pred_rul_frac
B0018,0.3,monotone,37,726.9212715209688,76,765.9212715209688,0.4868421052631579,9.564753572644326
B0007,0.3,monotone,73,76.86978096689666,123,126.86978096689666,0.5934959349593496,0.6249575688365582
B0007,0.5,monotone,40,1940.2730854112544,123,2023.2730854112544,0.3252032520325203,15.7745779301728
B0007,0.7,linear,7,348.8778582258828,123,464.8778582258828,0.056910569105691054,2.836405351429941
B0007,0.7,exponential,7,365.11361363221573,123,481.11361363221573,0.056910569105691054,2.9684033628635427
B0007,0.7,monotone,7,86.93817872240237,123,202.93817872240237,0.056910569105691054,0.7068144611577428
B0005,0.3,monotone,49,0.0,99,16.048778237331735,0.494949494949495,0.0
B0005,0.5,monotone,16,41.67956381725004,99,124.67956381725004,0.16161616161616163,0.4210056951237378
B0005,0.7,monotone,0,0.0,99,46.25174501125543,0.0,0.0
RW15,0.3,monotone,1,95.22283105036003,4,98.22283105036003,0.25,23.805707762590007
RW1,0.3,linear,5,6.541009112291878,11,12.541009112291878,0.45454545454545453,0.5946371920265343
RW1,0.3,exponential,5,7.073767126830459,11,13.07376712683046,0.45454545454545453,0.643069738802769
RW1,0.3,monotone,5,6.49038355308724,11,12.49038355308724,0.45454545454545453,0.5900348684624763
RW1,0.5,linear,0,3.087294879245551,11,14.087294879245551,0.0,0.2806631708405046
RW1,0.5,exponential,0,3.321936081197851,11,14.321936081197851,0.0,0.30199418919980464
RW1,0.5,monotone,0,2.567124410014415,11,13.567124410014415,0.0,0.23337494636494682
RW1,0.7,linear,0,7.856740799147662,11,23.856740799147662,0.0,0.7142491635588784
RW1,0.7,exponential,0,8.128092473057148,11,24.128092473057148,0.0,0.7389174975506498
RW1,0.7,monotone,0,5.478069280244984,11,21.478069280244984,0.0,0.4980062982040895
RW19,0.3,linear,2,0.0,6,-71.89051193065842,0.3333333333333333,0.0
RW19,0.3,exponential,2,0.0,6,-56.60781983528184,0.3333333333333333,0.0
RW19,0.3,monotone,2,0.0,6,-24.233108091980544,0.3333333333333333,0.0
RW20,0.3,linear,3,0.0,7,-79.78288484009934,0.42857142857142855,0.0
RW20,0.3,exponential,3,0.0,7,-58.67920908628425,0.42857142857142855,0.0
RW20,0.3,monotone,3,0.0,7,-10.404614417062959,0.42857142857142855,0.0
RW9,0.3,linear,0,0.0,7,3.1596112208685034,0.0,0.0
RW9,0.3,exponential,0,0.0,7,3.0267629133248803,0.0,0.0
RW9,0.3,monotone,0,0.0,7,3.299250226109278,0.0,0.0
RW9,0.5,linear,0,0.0,7,1.5383525082702538,0.0,0.0
RW9,0.5,exponential,0,0.0,7,2.100390488394627,0.0,0.0
RW9,0.5,monotone,0,0.0,7,2.0792549749389004,0.0,0.0
RW9,0.7,linear,0,0.0,7,-5.963139888523392,0.0,0.0
RW9,0.7,exponential,0,0.0,7,-3.6341236503503804,0.0,0.0
RW9,0.7,monotone,0,0.0,7,-1.4743757157444155,0.0,0.0
