,MAE,MAE,RMSE,RMSE,R²,R²,Skill,Skill,best_ep,best_ep
Model,LSTM,+CNN,LSTM,+CNN,LSTM,+CNN,LSTM,+CNN,LSTM,+CNN
Battery,,,,,,,,,,
B0005,0.0129,0.0845,0.0203,0.088,0.954,0.141,0.848,0.004,7,21
B0006,0.0348,0.0798,0.0436,0.0867,0.876,0.512,0.678,0.261,16,62
B0007,0.034,0.0997,0.0444,0.1044,0.685,-0.738,0.582,-0.229,16,91
B0018,0.0401,0.033,0.0477,0.0477,0.61,0.611,0.411,0.516,39,6
RW1,0.143,0.1879,0.1606,0.2048,-1.221,-2.611,-0.582,-1.078,14,30
RW13,0.0457,0.0914,0.061,0.0986,0.834,0.567,0.648,0.296,9,56
RW14,0.0727,0.0659,0.0878,0.0869,0.782,0.786,0.619,0.654,6,19
RW15,0.058,0.0635,0.0709,0.0694,0.842,0.848,0.675,0.645,9,42
RW16,0.0467,0.0313,0.0553,0.0445,0.909,0.941,0.726,0.817,11,49
RW17,0.0557,0.0747,0.0761,0.1024,0.81,0.656,0.642,0.52,7,20
RW19,0.0547,0.0741,0.0749,0.0908,0.796,0.7,0.631,0.5,7,26
RW20,0.0347,0.0755,0.0417,0.0977,0.95,0.724,0.797,0.559,15,38
RW9,0.1754,0.1676,0.2027,0.2002,-0.318,-0.285,0.097,0.137,8,34
